Title,Description,Link,Content,Time
Android phones will soon reboot themselves after sitting unused for 3 days - Ars Technica,The latest Google update will make your phone more secure if you don’t touch it…,https://arstechnica.com/gadgets/2025/04/android-phones-will-soon-reboot-themselves-after-sitting-unused-for-3-days/,,2025-04-16 21:15:00
EA Reveals Price For Split Fiction On Switch 2 - Nintendo Life,Pre-orders opening soon,https://www.nintendolife.com/news/2025/04/ea-reveals-price-for-split-fiction-on-switch-2,"Image: EA
After it was revealed as a launch title in the recent Switch 2 Direct, you might have been wondering how much Hazelight's Split Fiction will set you back on the upcoming Nintendo console. … [+1022 chars]",2025-04-16 21:15:00
The Wario outfit in this tax commercial is not an accident - Polygon,H&R Block’s tax prep is competing with TurboTax in a pointed ad on YouTube that has gamers thinking about taxes — and dressing like a Nintendo villain.,https://www.polygon.com/news/558979/hr-block-taxes-commercial-wario-easter-egg,"In the weeks leading up to Tax Day in the U.S., I have seen H&amp;R Blocks gamer ad ahead of every video. The tax prep company has successfully targeted me and I am not alone: according to visible Yo… [+2750 chars]",2025-04-16 21:15:00
"Baldur's Gate 3 developer bids final farewell, for real this time - Eurogamer",Larian has finally finished its work on the beloved Baldur's Gate 3 - but not before one last celebration.,https://www.eurogamer.net/baldurs-gate-3-developer-bids-final-farewell-for-real-this-time,"Larian has bid a final farewell to Baldur's Gate 3, its beloved breakout hit that won a legion of fans and propelled the studio to a new level of stardom.
Today, as previously announced, marks the r… [+1477 chars]",2025-04-16 21:15:00
Leaked images suggest Oblivion remaster coming soon - The Verge,Rumors of an Elder Scrolls IV: Oblivion remaster have kicked up again after images were leaked on a developer website,https://www.theverge.com/news/648877/oblivion-remaster-images-leaked-microsoft,"Microsoft may stealth drop the game as soon as next week.
Microsoft may stealth drop the game as soon as next week.
An Elder Scrolls IV: Oblivion Remastered announcement seems imminent. Images from… [+1491 chars]",2025-04-16 21:15:00
Notion releases an AI-powered email client for Gmail - TechCrunch,"Notion Mail uses AI to help Gmail users organize their inbox, schedule meetings, find internal knowledge, and send replies.",https://techcrunch.com/2025/04/15/notion-releases-its-ai-driven-email-inbox/,"Notion released Notion Mail, an AI-powered email client for Gmail that integrates with the rest of Notion’s workflow management platform, on Tuesday.
Notion Mail connects to Notion users’ Gmail acco… [+3321 chars]",2025-04-16 21:15:00
Dune: Awakening delayed for last minute changes from beta testers - Eurogamer,Dune: Awakening has been delayed slightly to implement last minute changes from beta testers.,https://www.eurogamer.net/dune-awakening-delayed-for-last-minute-changes-from-beta-testers,"Dune: Awakening has been delayed slightly to implement last minute changes from beta testers.
Back in February, developer Funcom announced a release date of 20th May on Steam. That's now been pushed… [+2240 chars]",2025-04-16 21:15:00
Xbox Game Pass loses another six games in April 2025 - TrueAchievements,"Microsoft has announced the second batch of games leaving Xbox Game Pass in April 2025. At the end of the month, another six games will leave the service.",https://www.trueachievements.com/news/xbox-game-pass-leaving-soon-april-2025-wave-2,"The second wave of games leaving Xbox Game Pass in April 2025 have been announced, and we're losing some favorites. Have a Nice Death, Kona II: Brume, Sniper Elite 5, The Last Case of Benedict Fox, T… [+2309 chars]",2025-04-16 21:15:00
"Games Joining Game Pass In April And May 2025, Including Clair Obscur And Call Of Duty - GameSpot","From Clair Obscur: Expedition 33 to Call of Duty: Modern Warfare 2, here's everything come to Game Pass in the next couple of weeks.",https://www.gamespot.com/gallery/games-joining-game-pass-in-april-and-may-2025-including-clair-obscur-and-call-of-duty/2900-6478/,GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.,2025-04-16 21:15:00
Beats Launches New Collection of Charging Cables - MacRumors,"In line with reseller leaks from last month, Apple's Beats brand is launching its first-ever set of charging cables today. Available in up to...",https://www.macrumors.com/2025/04/15/beats-charging-cables/,"In line with reseller leaks from last month, Apple's Beats brand is launching its first-ever set of charging cables today. Available in up to four color options, the new cables include USB-C to USB-C… [+1661 chars]",2025-04-16 21:15:00
Switch 2 Fans Can’t Stand Seeing Nintendo’s New Console Compared to the 12-Year-Old PS4 - Push Square,,https://www.pushsquare.com/news/2025/04/switch-2-fans-canrt-stand-seeing-nintendors-new-console-compared-to-the-12-year-old-ps4,,2025-04-16 21:15:00
Nanoleaf’s new pegboard dock lights up your accessories and room - The Verge,Nanoleaf’s new $49.99 Pegboard Desk Dock can highlight and organize your accessories and devices while illuminating your workstation.,https://www.theverge.com/news/648318/nanoleaf-pegboard-desk-dock-lighting-charging,"The Pegboard Desk Dock can display, organize, and charge devices like headphones and controllers.
The Pegboard Desk Dock can display, organize, and charge devices like headphones and controllers.
T… [+1898 chars]",2025-04-16 21:15:00
Samsung Is Running Way Behind on Its Android 15 Update - Gizmodo,The company had to stop the update because of bugs right as Android 16 creeps around the corner.,https://gizmodo.com/samsung-is-running-way-behind-on-its-android-15-update-2000589295,"Samsung’s One UI 7, the next version of its mobile operating system based on Android 15, has been delayed for several of the company’s latest flagship devices, namely 2024’s Galaxy S24 series, the Z … [+2487 chars]",2025-04-16 21:15:00
A ‘Concord’ Dev Offers Thoughts On Bungie’s ‘Marathon’ Situation - Forbes,"An ex-Concord developer has posted thoughts sympathizing with Bungie and its Marathon reveal online, based on the current discourse.",https://www.forbes.com/sites/paultassi/2025/04/15/a-concord-dev-offers-thoughts-on-bungies-marathon-situation/,"Destiny 2
Bungie
It is not ideal to see the term Concord trend online after youve just revealed your own game, but thats the situation Bungie found themselves in after its recent Marathon reveal, f… [+2754 chars]",2025-04-16 21:15:00
Northern Lights Forecast: 18 States May See Aurora Borealis Tonight As Geomagnetic Storm Nears - Forbes,"A recent coronal mass ejection is expected to disrupt Earth’s magnetic field this week, forecasters said.",https://www.forbes.com/sites/tylerroush/2025/04/15/northern-lights-forecast-18-states-may-see-aurora-borealis-tonight-as-geomagnetic-storm-nears/,"A recent coronal mass ejection will likely disrupt Earths magnetic field this week, which may make the northern lights visible to more states as early as Tuesday night, according to the National Ocea… [+2926 chars]",2025-04-16 21:15:00
Apple details how it plans to improve its AI models by privately analyzing user data - TechCrunch,"In the wake of criticism over the underwhelming performance of its AI products, especially in areas like notification summaries, Apple on Monday detailed",https://techcrunch.com/2025/04/15/apple-details-how-it-plans-to-improve-its-ai-models-by-privately-analyzing-user-data/,"In the wake of criticism over the underwhelming performance of its AI products, especially in areas like notificationsummaries, Apple on Monday detailed how it is trying to improve its AI models by a… [+1434 chars]",2025-04-16 21:15:00
Foldable iPhone's Under-Screen Camera Likely Won't Include Face ID - MacRumors,"Apple's rumored foldable iPhone currently in development features an under-screen camera integrated into the folding display, but the module is...",https://www.macrumors.com/2025/04/15/foldable-iphone-under-screen-camera-no-face-id/,"Apple's rumored foldable iPhone currently in development features an under-screen camera integrated into the folding display, but the module is unlikely to include TrueDepth components that make up F… [+2085 chars]",2025-04-16 21:15:00
"6 New PS Plus Extra, Premium Games Available to Download Now - Push Square","Hogwarts Legacy the big PS5, PS4 addition",https://www.pushsquare.com/news/2025/04/6-new-ps-plus-extra-premium-games-available-to-download-now,"This month's PS Plus Extra and PS Plus Premium refresh is now live, bringing with it a further six PS5, PS4, and Classic games to play on top of the two that were released early last week. All the ne… [+1257 chars]",2025-04-16 21:15:00
You Can Finally Repair Weapons In Zelda: BOTW And TOTK On Switch 2 (Sort Of) - Nintendo Life,"You'll need to use 'Zelda Notes', though",https://www.nintendolife.com/news/2025/04/you-can-finally-repair-weapons-in-zelda-botw-and-totk-on-switch-2-sort-of,"Subscribe to Nintendo Life on YouTube808k
Weapon durability has long been a 'controversial' mechanic seen in both The Legend of Zelda: Breath of the Wild and Tears of the Kingdom. While many embrace… [+1809 chars]",2025-04-16 21:15:00
